_Glon,_Glat,recno,3FGL,VHE,Cln,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XGP,logCpt,FRad,n_FRad,FX,Vmag1,Vmag2,ARO,AOX,Simbad
89.0847197,-67.2900988,1,J0001.2-0748,0,Y,PMN J0001-0746,0.3251,-7.77415,0.042,0.075,bll,ISP,14.486,14.486,,0.997,0.859,0.0,,209.17,N,8.1,17.612,17.21,0.5,1.38,Simbad
107.6563037,-40.1602593,2,J0001.4+2120,0,Y,TXS 2358+209,0.38502,21.22679,0.113,0.199,fsrq,ISP,14.163,14.486,1.106,0.924,0.0,0.0,2.396,217.87,N,23.1,18.714,18.42,0.63,0.92,Simbad
334.3211146,-72.0293616,3,J0002.2-4152,0,Y,1RXS J000135.5-415519,0.38642,-41.92367,0.137,0.174,bcu II,HSP,15.8,15.8,,0.972,0.0,0.0,-0.586,13.2,S,,18.427,,0.33,1.07,Simbad
318.944357,-62.8157986,4,J0003.2-5246,0,Y,RBS 0006,0.83121,-52.79103,0.017,0.065,bcu II,HSP,16.85,16.85,,0.998,0.0,0.9,-0.517,65.3,S,48.5,18.813,,0.52,0.86,Simbad
84.6654045,-71.079836,5,J0003.8-1151,0,N,PMN J0004-1148,1.02048,-11.81622,0.076,0.114,bcu II,LSP,12.515,12.515,,0.995,0.869,0.0,-0.357,459.6,N,,18.575,,0.74,,Simbad
84.3536105,-71.0681402,6,J0003.8-1151,0,N,PKS 0001-121,0.92848,-11.86372,0.03,0.114,bcu I,-,,,1.30999,0.988,0.871,0.0,,352.48,N,,17.423,,0.53,,Simbad
323.9467835,-67.5661514,7,J0004.7-4740,0,Y,PKS 0002-478,1.14856,-47.60545,0.069,0.084,fsrq,LSP,13.145,13.419,0.88,0.993,0.927,0.0,0.304,932.9,S,14.9,17.296,,0.67,1.16,Simbad
113.2102983,-23.6740684,8,J0006.4+3825,0,Y,S4 0003+38,1.48823,38.33754,0.126,0.179,fsrq,LSP,13.145,13.235,0.229,0.992,0.844,0.0,0.689,572.76,N,,17.724,,0.65,1.36,Simbad
115.3158017,-15.0262111,9,J0008.0+4713,0,Y,MG4 J000800+4712,1.99989,47.20216,0.028,0.031,bll,HSP,15.4,15.891,2.1,0.999,0.839,0.843,0.16,60.86,N,14.8,18.283,,0.41,1.14,Simbad
50.3020196,-79.7242254,10,J0008.6-2340,0,Y,RBS 0016,2.1475,-23.65778,0.028,0.07,bll,ISP,14.72,14.78,0.147,0.999,0.0,0.89,-0.255,36.26,N,47.1,16.641,,0.42,0.95,Simbad
