_Glon,_Glat,recno,3FGL,VHE,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XG,NED,FRad,n_FRad,FX,Simbad
119.6256175,8.143642,1,J0012.4+7040,0,TXS 0008+704,2.88293,70.75878,0.115,0.105,bcu II,LSP,13.075,13.075,,0.912,0.856,,NED,639.0,N,,Simbad
118.5476147,-1.2641593,2,J0014.6+6119,0,4C +60.01,3.7033,61.29543,0.031,0.061,bcu II,LSP,13.113,13.113,,0.997,0.976,,NED,4040.0,N,,Simbad
118.069416,-4.490432,3,J0014.7+5802,0,1RXS J001442.2+580201,3.67471,58.03404,0.009,0.055,bll,HSP,16.64,16.64,,,,0.936,NED,7.7,N,104.0,Simbad
117.8936554,-6.6591944,4,J0015.7+5552,0,GB6 J0015+5551,3.91737,55.86226,0.018,0.043,bcu II,HSP,15.791,15.791,,0.998,0.868,0.952,NED,85.0,N,152.0,Simbad
120.9756148,-2.9780399,5,J0035.9+5949,1,1ES 0033+595,8.96935,59.83459,0.01,0.018,bll,HSP,17.12,17.12,,1.0,0.935,0.979,NED,148.0,N,318.0,Simbad
122.324812,-5.9047457,6,J0047.0+5658,0,GB6 J0047+5657,11.75179,56.96178,0.013,0.04,bll,-,,,0.747,1.0,0.91,,NED,190.0,N,,Simbad
122.4117564,-8.0723496,7,J0047.9+5447,0,1RXS J004754.5+544758,11.96611,54.79579,0.01,0.06,bcu II,HSP,15.896,15.896,,,,0.89,NED,13.9,N,31.2,Simbad
124.4193151,-4.4359489,8,J0102.8+5825,0,TXS 0059+581,15.69068,58.40309,0.023,0.02,fsrq,LSP,12.725,12.941,0.644,0.999,0.956,,NED,849.0,N,,Simbad
124.7332332,-9.2094317,9,J0103.4+5336,0,1RXS J010325.9+533721,15.85816,53.62036,0.006,0.042,bll,-,,,,,0.824,0.934,NED,30.9,N,63.7,Simbad
125.1136276,-1.2355978,10,J0109.8+6132,0,TXS 0106+612,17.4431,61.55846,0.015,0.033,fsrq,LSP,13.29,13.541,0.783,0.999,0.934,,NED,305.0,N,,Simbad
